Zip.Code,Population,Growth.Rate,Med.HH.Inc,Avg.HH.Inc,Med.Age,Households,HH.Size,Health.Insurance,HS.Diploma,Bachelor.Degree,Grad.Degree,Businesses,Diversity.Index,Dental.Services,Management,Finance,Computer,Engineering,Social.Science,Community.Service,Legal,Education,Arts,Healthcare,Healthcare.Support,Protective.Service,Food.Prep,Maintenance,Personal.Care,Sales,Office.Admin,Farming,Construction,Repair,Production,Transportation
84758 (Orderville),631.00,0.01,46495.00,56736.00,40.90,237.00,2.66,670628.00,95.00,59.00,33.00,41.00,12.80,66208.00,31.00,1.00,0.00,3.00,5.00,0.00,0.00,31.00,0.00,3.00,4.00,3.00,42.00,25.00,8.00,25.00,17.00,6.00,25.00,11.00,17.00,32.00
84759 (Panguitch),2148.00,0.00,48260.00,57243.00,38.90,695.00,2.89,2032384.00,439.00,172.00,61.00,209.00,16.70,194888.00,75.00,23.00,0.00,11.00,3.00,6.00,0.00,50.00,13.00,75.00,27.00,39.00,143.00,91.00,22.00,88.00,63.00,49.00,91.00,46.00,27.00,47.00
84760 (Paragonah),621.00,0.00,66862.00,83848.00,44.10,220.00,2.82,849235.00,146.00,51.00,19.00,6.00,23.60,89556.00,54.00,9.00,2.00,3.00,0.00,3.00,0.00,9.00,3.00,22.00,16.00,9.00,10.00,12.00,0.00,21.00,22.00,1.00,10.00,8.00,5.00,21.00
84761 (Parowan),2864.00,0.00,46809.00,63449.00,41.10,1053.00,2.70,3187903.00,604.00,198.00,110.00,150.00,18.80,335165.00,167.00,29.00,9.00,0.00,0.00,7.00,0.00,69.00,37.00,45.00,11.00,11.00,30.00,29.00,19.00,171.00,107.00,76.00,77.00,46.00,28.00,65.00
84762 (Duck Creek Village),251.00,0.01,42808.00,47943.00,49.80,120.00,2.09,313202.00,43.00,73.00,20.00,33.00,26.10,28834.00,12.00,0.00,0.00,0.00,11.00,0.00,0.00,10.00,0.00,1.00,0.00,0.00,3.00,1.00,0.00,7.00,12.00,4.00,19.00,1.00,1.00,11.00
84763 (Rockville),266.00,0.02,55234.00,68892.00,43.10,129.00,1.88,422242.00,32.00,48.00,24.00,12.00,32.20,46310.00,10.00,1.00,5.00,1.00,1.00,2.00,0.00,9.00,7.00,2.00,0.00,1.00,13.00,7.00,10.00,22.00,9.00,0.00,5.00,1.00,3.00,10.00
84764 (Bryce),332.00,0.00,53896.00,61028.00,37.40,150.00,2.21,434934.00,69.00,31.00,23.00,35.00,36.20,47702.00,34.00,4.00,0.00,0.00,7.00,1.00,0.00,21.00,1.00,2.00,3.00,4.00,34.00,13.00,5.00,21.00,20.00,3.00,9.00,10.00,4.00,8.00
84765 (Santa Clara),7060.00,0.02,66735.00,82359.00,32.40,1983.00,3.56,7266413.00,542.00,1012.00,575.00,114.00,20.20,769732.00,297.00,189.00,27.00,16.00,17.00,0.00,56.00,262.00,10.00,198.00,123.00,33.00,163.00,45.00,80.00,334.00,214.00,0.00,73.00,67.00,112.00,178.00
84766 (Sevier),162.00,0.00,52874.00,62791.00,39.00,55.00,2.95,187994.00,44.00,4.00,3.00,2.00,26.10,17060.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,11.00,2.00,0.00,3.00,10.00,16.00,8.00,5.00,6.00,5.00
84767 (Springdale),488.00,0.02,55064.00,68912.00,43.30,233.00,1.91,762876.00,59.00,88.00,44.00,113.00,32.50,83670.00,19.00,2.00,10.00,1.00,1.00,3.00,0.00,17.00,12.00,4.00,0.00,1.00,23.00,13.00,18.00,42.00,16.00,0.00,9.00,3.00,6.00,19.00
84782 (Veyo),984.00,0.03,50647.00,73670.00,53.90,334.00,2.95,1332190.00,221.00,125.00,96.00,27.00,17.40,122896.00,26.00,8.00,7.00,0.00,0.00,6.00,2.00,4.00,3.00,24.00,1.00,3.00,5.00,14.00,22.00,34.00,23.00,1.00,22.00,6.00,22.00,15.00
84772 (Summit),327.00,0.00,41151.00,56136.00,41.80,120.00,2.69,328707.00,56.00,15.00,13.00,4.00,20.40,32478.00,15.00,6.00,0.00,0.00,0.00,0.00,0.00,9.00,6.00,0.00,2.00,2.00,0.00,4.00,1.00,26.00,17.00,5.00,11.00,8.00,2.00,8.00
84773 (Teasdale),309.00,0.00,40934.00,55045.00,46.90,136.00,2.27,355680.00,62.00,42.00,28.00,8.00,16.30,39010.00,30.00,6.00,1.00,0.00,0.00,3.00,0.00,4.00,1.00,3.00,5.00,3.00,16.00,9.00,13.00,16.00,22.00,8.00,11.00,3.00,4.00,11.00
84774 (Toquerville),1595.00,0.03,51083.00,67111.00,40.50,512.00,3.12,1551357.00,173.00,277.00,69.00,21.00,13.90,163832.00,85.00,44.00,0.00,0.00,3.00,10.00,0.00,44.00,9.00,39.00,18.00,8.00,20.00,12.00,20.00,81.00,87.00,16.00,34.00,22.00,7.00,70.00
84775 (Torrey),442.00,0.00,41750.00,55045.00,45.60,210.00,2.10,549212.00,85.00,61.00,40.00,64.00,17.60,60236.00,45.00,8.00,1.00,0.00,0.00,5.00,1.00,6.00,2.00,4.00,7.00,4.00,23.00,12.00,18.00,23.00,32.00,11.00,15.00,4.00,5.00,16.00
84776 (Tropic),535.00,0.00,53050.00,61309.00,37.30,177.00,3.02,515585.00,111.00,50.00,37.00,60.00,35.90,56548.00,55.00,6.00,1.00,0.00,11.00,1.00,0.00,33.00,2.00,3.00,5.00,7.00,54.00,21.00,8.00,34.00,32.00,5.00,14.00,17.00,7.00,12.00
84779 (Virgin),597.00,0.02,52948.00,66300.00,41.60,208.00,2.64,649958.00,74.00,99.00,49.00,25.00,32.60,70517.00,21.00,2.00,11.00,1.00,1.00,5.00,0.00,19.00,13.00,6.00,0.00,2.00,28.00,15.00,20.00,51.00,20.00,0.00,10.00,3.00,8.00,23.00
84780 (Washington),23692.00,0.03,52989.00,70429.00,31.60,7555.00,3.13,23802734.00,3422.00,2677.00,1180.00,487.00,32.40,2499743.00,930.00,386.00,153.00,59.00,6.00,87.00,1.00,665.00,91.00,340.00,173.00,191.00,710.00,399.00,142.00,1328.00,1170.00,0.00,351.00,338.00,452.00,358.00
84790 (Saint George),42940.00,0.02,55807.00,77178.00,35.70,14583.00,2.93,50730678.00,5392.00,5264.00,3579.00,1644.00,32.60,5253381.00,1578.00,618.00,307.00,175.00,64.00,240.00,212.00,1108.00,286.00,942.00,307.00,334.00,693.00,786.00,735.00,1873.00,2140.00,31.00,982.00,302.00,612.00,1037.00
